section,shape,n,variant,runs,crew_win,days,nights,backtrack_games,hard_lock_games,delta_crew_pp,delta_days,delta_nights,delta_minutes
representative,5x5,8,control,1000,0.593,4.342,3.935,,,,,,
representative,5x5,8,reef,1000,0.566,4.388,3.966,0.028,0.0,-2.7,0.046,0.031,0.21712
representative,5x6,8,control,1000,0.572,5.098,4.682,,,,,,
representative,5x6,8,reef,1000,0.543,5.188,4.748,0.037,0.0,-2.9,0.09,0.066,0.4248
representative,5x7,8,control,1000,0.57,5.899,5.519,,,,,,
representative,5x7,8,reef,1000,0.52,6.03,5.606,0.042,0.0,-5.0,0.131,0.087,0.61832
representative,6x5,13,control,1000,0.608,4.423,4.031,,,,,,
representative,6x5,13,reef,1000,0.566,4.461,4.027,0.032,0.0,-4.2,0.038,-0.004,0.24396
representative,6x6,13,control,1000,0.587,5.244,4.831,,,,,,
representative,6x6,13,reef,1000,0.529,5.38,4.909,0.06,0.0,-5.8,0.136,0.078,0.87312
representative,6x7,13,control,1000,0.553,5.898,5.451,,,,,,
representative,6x7,13,reef,1000,0.563,6.178,5.742,0.053,0.0,1.0,0.28,0.291,1.7976
sensitivity,5x5,6,reef,300,0.4933333333,4.4,3.9033333333,0.0466666667,0.0,,,,
sensitivity,5x5,7,reef,300,0.51,4.34,3.8533333333,0.04,0.0,,,,
sensitivity,5x5,8,reef,300,0.6033333333,4.4566666667,4.0666666667,0.05,0.0,,,,
sensitivity,5x5,9,reef,300,0.5533333333,4.4233333333,3.9766666667,0.0333333333,0.0,,,,
sensitivity,5x5,10,reef,300,0.5466666667,4.38,3.9266666667,0.0333333333,0.0,,,,
sensitivity,6x5,11,reef,300,0.5533333333,4.4833333333,4.0366666667,0.04,0.0,,,,
sensitivity,6x5,12,reef,300,0.62,4.4533333333,4.0733333333,0.0366666667,0.0,,,,
sensitivity,6x5,13,reef,300,0.5433333333,4.5133333333,4.0566666667,0.0233333333,0.0,,,,
sensitivity,6x5,14,reef,300,0.5133333333,4.4066666667,3.92,0.0166666667,0.0,,,,
sensitivity,6x5,15,reef,300,0.4866666667,4.5366666667,4.0233333333,0.0566666667,0.0,,,,
sensitivity,5x6,6,reef,300,0.5366666667,5.1566666667,4.71,0.0166666667,0.0,,,,
sensitivity,5x6,7,reef,300,0.4766666667,4.97,4.4566666667,0.0166666667,0.0,,,,
sensitivity,5x6,8,reef,300,0.5266666667,5.2366666667,4.7866666667,0.0266666667,0.0,,,,
sensitivity,5x6,9,reef,300,0.56,5.1933333333,4.7533333333,0.01,0.0,,,,
sensitivity,5x6,10,reef,300,0.55,5.2333333333,4.7833333333,0.0166666667,0.0,,,,
sensitivity,6x6,11,reef,300,0.5733333333,5.4833333333,5.0566666667,0.06,0.0,,,,
sensitivity,6x6,12,reef,300,0.5766666667,5.37,4.9466666667,0.06,0.0,,,,
sensitivity,6x6,13,reef,300,0.5466666667,5.3166666667,4.8633333333,0.0433333333,0.0,,,,
sensitivity,6x6,14,reef,300,0.48,5.2866666667,4.7666666667,0.0366666667,0.0,,,,
sensitivity,6x6,15,reef,300,0.5666666667,5.4,4.9666666667,0.0433333333,0.0,,,,
sensitivity,5x7,6,reef,300,0.47,6.02,5.57,0.05,0.0,,,,
sensitivity,5x7,7,reef,300,0.5466666667,6.0366666667,5.6433333333,0.0333333333,0.0,,,,
sensitivity,5x7,8,reef,300,0.6033333333,6.1133333333,5.7733333333,0.0366666667,0.0,,,,
sensitivity,5x7,9,reef,300,0.58,6.0966666667,5.7,0.0433333333,0.0,,,,
sensitivity,5x7,10,reef,300,0.5866666667,6.0566666667,5.6433333333,0.0266666667,0.0,,,,
sensitivity,6x7,11,reef,300,0.6033333333,6.0433333333,5.65,0.04,0.0,,,,
sensitivity,6x7,12,reef,300,0.5966666667,6.2166666667,5.8133333333,0.0433333333,0.0,,,,
sensitivity,6x7,13,reef,300,0.5566666667,6.0466666667,5.6033333333,0.0333333333,0.0,,,,
sensitivity,6x7,14,reef,300,0.5933333333,6.3,5.8933333333,0.06,0.0,,,,
sensitivity,6x7,15,reef,300,0.5566666667,6.16,5.7166666667,0.0533333333,0.0,,,,
