n,length,persona,seed,variant,winner,reason,days,nights,hull_left,scurvy_started,scurvy_cleared,attacks,rule_fallbacks,empty_ship_stalemate,identity_discards,relocation_rollbacks
6,short,temkinli,6809053495676194538,A,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,temkinli,6809053495676194538,B,crew,port,6,6,1,0,0,3,0,0,0,0
6,short,temkinli,6310194356547804253,A,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,temkinli,6310194356547804253,B,hain,scurvy,5,4,2,1,0,0,0,0,0,0
6,short,temkinli,6735122421564676569,A,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,6735122421564676569,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,6016748605372285961,A,hain,sunk,4,3,0,1,1,2,0,0,0,0
6,short,temkinli,6016748605372285961,B,hain,sunk,4,3,0,1,1,2,0,0,0,0
6,short,temkinli,15481882053468526308,A,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,temkinli,15481882053468526308,B,crew,port,5,5,2,1,1,1,0,0,0,0
6,short,temkinli,16655966710624885620,A,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,short,temkinli,16655966710624885620,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,15622389954492761805,A,hain,sunk,3,2,0,1,0,1,0,0,0,0
6,short,temkinli,15622389954492761805,B,hain,sunk,3,2,0,1,0,1,0,0,0,0
6,short,temkinli,16686802359255129593,A,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,short,temkinli,16686802359255129593,B,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,short,temkinli,17757091262576660768,A,hain,sunk,2,1,0,0,0,0,0,0,0,0
6,short,temkinli,17757091262576660768,B,hain,sunk,2,1,0,0,0,0,0,0,0,0
6,short,temkinli,4970624746066088229,A,hain,sunk,4,3,0,1,0,0,0,0,0,0
6,short,temkinli,4970624746066088229,B,hain,scurvy,5,4,1,1,0,1,0,0,0,0
6,short,temkinli,4620075008326069189,A,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,4620075008326069189,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,17498095217321810255,A,hain,sunk,3,2,0,1,1,1,0,0,0,0
6,short,temkinli,17498095217321810255,B,hain,sunk,3,2,0,1,1,1,0,0,0,0
6,short,temkinli,2892421149601452675,A,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,short,temkinli,2892421149601452675,B,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,short,temkinli,14665798765301695993,A,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,14665798765301695993,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,7610236733577671602,A,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,temkinli,7610236733577671602,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,temkinli,11800533730155295061,A,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,short,temkinli,11800533730155295061,B,hain,sunk,4,3,0,1,1,1,0,0,0,0
6,short,temkinli,4468843596807743708,A,crew,port,4,4,2,1,1,2,0,0,0,0
6,short,temkinli,4468843596807743708,B,hain,sunk,3,2,0,1,0,1,0,0,0,0
6,short,temkinli,1890891996601173114,A,crew,port,5,5,1,1,1,0,0,0,0,0
6,short,temkinli,1890891996601173114,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,temkinli,15959859175351191669,A,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,temkinli,15959859175351191669,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,temkinli,10595613752062985283,A,crew,port,5,5,1,0,0,3,0,0,0,0
6,short,temkinli,10595613752062985283,B,crew,port,5,5,1,0,0,3,0,0,0,0
6,short,dengeli,11397750599617727024,A,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,short,dengeli,11397750599617727024,B,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,short,dengeli,10201477389066933256,A,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,dengeli,10201477389066933256,B,crew,port,5,5,1,1,1,2,0,0,0,0
6,short,dengeli,5186645797121410890,A,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,dengeli,5186645797121410890,B,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,dengeli,8302234891493904557,A,hain,sunk,3,2,0,1,0,1,0,0,0,0
6,short,dengeli,8302234891493904557,B,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,short,dengeli,13170274647265617541,A,crew,port,5,5,2,1,1,2,0,0,0,0
6,short,dengeli,13170274647265617541,B,crew,port,5,5,2,1,1,2,0,0,0,0
6,short,dengeli,12098409237276691817,A,hain,scurvy,5,4,1,1,0,2,0,0,0,0
6,short,dengeli,12098409237276691817,B,hain,scurvy,5,4,1,1,0,2,0,0,0,0
6,short,dengeli,2018034160516430065,A,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,short,dengeli,2018034160516430065,B,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,short,dengeli,8527462258913839568,A,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,dengeli,8527462258913839568,B,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,dengeli,3851982582400170323,A,crew,port,4,4,2,0,0,2,0,0,0,0
6,short,dengeli,3851982582400170323,B,crew,port,4,4,2,0,0,2,0,0,0,0
6,short,dengeli,8363722401713185001,A,crew,port,4,4,2,1,1,1,0,0,0,0
6,short,dengeli,8363722401713185001,B,crew,port,4,4,2,1,1,1,0,0,0,0
6,short,dengeli,14529897377338947807,A,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,dengeli,14529897377338947807,B,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,dengeli,14718202968346180075,A,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,dengeli,14718202968346180075,B,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,dengeli,11641688750679800120,A,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,dengeli,11641688750679800120,B,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,dengeli,7582978420239731574,A,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,dengeli,7582978420239731574,B,crew,port,6,6,2,0,0,3,0,0,0,0
6,short,dengeli,12450642006704561624,A,hain,scurvy,6,5,1,1,0,2,0,0,0,0
6,short,dengeli,12450642006704561624,B,hain,scurvy,5,4,1,1,0,2,0,0,0,0
6,short,dengeli,12730318761075141515,A,crew,port,5,5,2,1,1,0,0,0,0,0
6,short,dengeli,12730318761075141515,B,crew,port,5,5,2,1,1,0,0,0,0,0
6,short,dengeli,17258609082378642552,A,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,short,dengeli,17258609082378642552,B,hain,sunk,5,4,0,1,1,1,0,0,0,0
6,short,dengeli,9713370974181016130,A,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,short,dengeli,9713370974181016130,B,hain,sunk,3,2,0,1,1,0,0,0,0,0
6,short,dengeli,8110979324231468832,A,hain,sunk,5,4,0,1,1,0,0,0,0,0
6,short,dengeli,8110979324231468832,B,hain,sunk,3,2,0,1,1,1,0,0,0,0
6,short,dengeli,13718009064490213168,A,hain,sunk,3,2,0,1,0,0,0,0,0,0
6,short,dengeli,13718009064490213168,B,hain,sunk,4,3,0,1,0,1,0,0,0,0
6,short,kaotik,13973272156567708999,A,crew,port,5,5,2,1,1,1,0,0,0,0
6,short,kaotik,13973272156567708999,B,crew,port,5,5,2,1,1,1,0,0,0,0
6,short,kaotik,13371841275193123704,A,crew,port,4,4,2,1,1,1,0,0,0,0
6,short,kaotik,13371841275193123704,B,crew,port,4,4,2,1,1,1,0,0,0,0
6,short,kaotik,6869563734990675337,A,hain,scurvy,5,4,2,1,0,1,0,0,0,0
6,short,kaotik,6869563734990675337,B,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,kaotik,6177584857667816607,A,crew,port,4,4,2,0,0,2,0,0,0,0
6,short,kaotik,6177584857667816607,B,crew,port,4,4,2,0,0,2,0,0,0,0
6,short,kaotik,1224925835649941420,A,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,kaotik,1224925835649941420,B,crew,port,5,5,2,1,1,3,0,0,0,0
6,short,kaotik,15216205001507573244,A,crew,port,5,5,2,1,1,0,0,0,0,0
6,short,kaotik,15216205001507573244,B,crew,port,5,5,2,1,1,0,0,0,0,0
6,short,kaotik,12837237532639660732,A,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,kaotik,12837237532639660732,B,crew,port,5,5,1,0,0,1,0,0,0,0
6,short,kaotik,16017139495046103515,A,hain,sunk,4,3,0,1,1,2,0,0,0,0
6,short,kaotik,16017139495046103515,B,hain,sunk,4,3,0,1,1,2,0,0,0,0
6,short,kaotik,3141210259675416998,A,crew,port,5,5,1,1,1,0,0,0,0,0
6,short,kaotik,3141210259675416998,B,crew,port,5,5,1,1,1,0,0,0,0,0
6,short,kaotik,18331403085681940180,A,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,18331403085681940180,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,18258018630220156657,A,crew,port,4,4,1,1,1,0,0,0,0,0
6,short,kaotik,18258018630220156657,B,crew,port,4,4,1,1,1,1,0,0,0,0
6,short,kaotik,10941820454127851059,A,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,kaotik,10941820454127851059,B,crew,port,5,5,1,0,0,2,0,0,0,0
6,short,kaotik,2067129133208380210,A,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,short,kaotik,2067129133208380210,B,hain,sunk,5,4,0,1,1,3,0,0,0,0
6,short,kaotik,6516723590725724903,A,hain,scurvy,5,4,1,1,0,1,0,0,0,0
6,short,kaotik,6516723590725724903,B,hain,sunk,5,4,0,1,0,1,0,0,0,0
6,short,kaotik,1223920661895836031,A,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,kaotik,1223920661895836031,B,crew,port,5,5,1,1,1,3,0,0,0,0
6,short,kaotik,8707409607627047824,A,crew,port,5,5,2,0,0,3,0,0,0,0
6,short,kaotik,8707409607627047824,B,crew,port,5,5,2,0,0,3,0,0,0,0
6,short,kaotik,9857372885239935628,A,crew,port,4,4,1,1,1,2,0,0,0,0
6,short,kaotik,9857372885239935628,B,hain,sunk,4,3,0,1,0,2,0,0,0,0
6,short,kaotik,10374900493963586122,A,crew,port,5,5,2,1,1,4,0,0,0,0
6,short,kaotik,10374900493963586122,B,crew,port,5,5,2,1,1,4,0,0,0,0
6,short,kaotik,16276289477729551749,A,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,16276289477729551749,B,hain,sunk,2,1,0,1,0,0,0,0,0,0
6,short,kaotik,12258354343007504516,A,crew,port,3,3,1,1,1,1,0,0,0,0
6,short,kaotik,12258354343007504516,B,crew,port,3,3,1,1,1,1,0,0,0,0
6,normal,temkinli,11491986184420196804,A,hain,sunk,6,5,0,1,1,3,0,0,0,0
6,normal,temkinli,11491986184420196804,B,hain,sunk,7,6,0,1,1,3,0,0,0,1
6,normal,temkinli,7291979687134774155,A,hain,sunk,4,3,0,0,0,2,0,0,0,0
